"Election Date","Election Type","Ward/Precinct","Number Registered","Number of Ballots Cast","Percentage"
"Nov 07, 2000","State/Presidential","6-3","1,495","851","57"
"Nov 07, 2000","State/Presidential","6-4","1,491","985","66"
"Nov 07, 2000","State/Presidential","7-1","1,585","1,037","65"
"Nov 07, 2000","State/Presidential","7-2","1,599","904","57"
"Nov 07, 2000","State/Presidential","7-3","1,718","1,200","70"
"Nov 07, 2000","State/Presidential","7-4","1,053","557","53"
"Nov 07, 2000","State/Presidential","8-1","1,749","1,106","63"
"Nov 07, 2000","State/Presidential","8-2","227","115","51"
"Nov 07, 2000","State/Presidential","8-3","590","213","36"
"Nov 07, 2000","State/Presidential","8-4","1,444","947","66"
"Nov 07, 2000","State/Presidential","9-1","1,853","1,340","72"
"Nov 07, 2000","State/Presidential","9-2","1,560","1,180","76"
"Nov 07, 2000","State/Presidential","9-3","1,644","1,228","75"
"Nov 07, 2000","State/Presidential","9-4","1,302","883","68"
"Nov 07, 2000","State/Presidential","10-1","1,815","1,229","68"
"Nov 07, 2000","State/Presidential","10-2","1,564","1,026","66"
"Nov 07, 2000","State/Presidential","10-3","1,666","1,183","71"
"Nov 07, 2000","State/Presidential","10-4","1,561","1,104","71"
"Nov 07, 2000","State/Presidential","11-1","991","521","53"
"Nov 07, 2000","State/Presidential","11-2","2,247","1,608","72"
"Nov 07, 2000","State/Presidential","11-3","2,144","1,528","71"
"Sep 19, 2000","State Primary","1-1","1,507","172","11"
"Sep 19, 2000","State Primary","1-2","1,436","165","11"
"Sep 19, 2000","State Primary","1-3","1,346","215","16"
"Sep 19, 2000","State Primary","1-4","1,128","67","6"
"Sep 19, 2000","State Primary","2-1","1,483","127","9"
"Sep 19, 2000","State Primary","2-2","1,081","19","2"
"Sep 19, 2000","State Primary","2-3","1,143","21","2"
"Sep 19, 2000","State Primary","3-1","1,058","106","10"
"Sep 19, 2000","State Primary","3-2","1,203","75","6"
"Sep 19, 2000","State Primary","3-3","1,629","104","6"
"Sep 19, 2000","State Primary","3-4","1,202","70","6"
"Sep 19, 2000","State Primary","4-1","1,618","95","6"
"Sep 19, 2000","State Primary","4-2","1,727","71","4"
"Sep 19, 2000","State Primary","4-3","1,708","74","4"
"Sep 19, 2000","State Primary","4-4","1,799","122","7"
"Sep 19, 2000","State Primary","5-1","1,507","57","4"
"Sep 19, 2000","State Primary","5-2","1,663","167","10"
"Sep 19, 2000","State Primary","5-3","1,629","100","6"
"Sep 19, 2000","State Primary","5-4","1,326","85","6"
"Sep 19, 2000","State Primary","6-1","964","62","6"
"Sep 19, 2000","State Primary","6-2","1,370","89","6"
"Sep 19, 2000","State Primary","6-3","1,379","47","3"
"Sep 19, 2000","State Primary","6-4","1,432","108","8"
"Sep 19, 2000","State Primary","7-1","1,509","79","5"
"Sep 19, 2000","State Primary","7-2","1,435","41","3"
"Sep 19, 2000","State Primary","7-3","1,654","187","11"
"Sep 19, 2000","State Primary","7-4","970","66","7"
"Sep 19, 2000","State Primary","8-1","1,622","100","6"
"Sep 19, 2000","State Primary","8-2","179","5","3"
"Sep 19, 2000","State Primary","8-3","526","10","2"
"Sep 19, 2000","State Primary","8-4","1,349","110","8"
"Sep 19, 2000","State Primary","9-1","1,772","188","11"
"Sep 19, 2000","State Primary","9-2","1,516","183","12"
"Sep 19, 2000","State Primary","9-3","1,591","184","12"
"Sep 19, 2000","State Primary","9-4","1,250","144","12"
"Sep 19, 2000","State Primary","10-1","1,763","175","10"
"Sep 19, 2000","State Primary","10-2","1,483","134","9"
"Sep 19, 2000","State Primary","10-3","1,602","209","13"
"Sep 19, 2000","State Primary","10-4","1,484","142","10"
"Sep 19, 2000","State Primary","11-1","917","46","5"
"Sep 19, 2000","State Primary","11-2","2,154","251","12"
"Sep 19, 2000","State Primary","11-3","2,082","318","15"
"Mar 07, 2000","Presidential Primary","1-1","1,491","450","30"
"Mar 07, 2000","Presidential Primary","1-2","1,419","407","29"
"Mar 07, 2000","Presidential Primary","1-3","1,335","366","27"
"Mar 07, 2000","Presidential Primary","1-4","1,134","257","23"
"Mar 07, 2000","Presidential Primary","2-1","1,419","274","19"
"Mar 07, 2000","Presidential Primary","2-2","1,068","151","14"
"Mar 07, 2000","Presidential Primary","2-3","1,165","215","18"
"Mar 07, 2000","Presidential Primary","3-1","1,049","242","23"
"Mar 07, 2000","Presidential Primary","3-2","1,182","312","26"
"Mar 07, 2000","Presidential Primary","3-3","1,653","542","33"
"Mar 07, 2000","Presidential Primary","3-4","1,211","310","26"
"Mar 07, 2000","Presidential Primary","4-1","1,641","447","27"
"Mar 07, 2000","Presidential Primary","4-2","1,767","462","26"
"Mar 07, 2000","Presidential Primary","4-3","1,749","400","23"
"Mar 07, 2000","Presidential Primary","4-4","1,810","451","25"
"Mar 07, 2000","Presidential Primary","5-1","1,488","313","21"
"Mar 07, 2000","Presidential Primary","5-2","1,697","494","29"
"Mar 07, 2000","Presidential Primary","5-3","1,650","467","28"
"Mar 07, 2000","Presidential Primary","5-4","1,357","324","24"
"Mar 07, 2000","Presidential Primary","6-1","992","192","19"
"Mar 07, 2000","Presidential Primary","6-2","1,417","305","22"
"Mar 07, 2000","Presidential Primary","6-3","1,439","392","27"
"Mar 07, 2000","Presidential Primary","6-4","1,424","418","29"
"Mar 07, 2000","Presidential Primary","7-1","1,545","471","30"
"Mar 07, 2000","Presidential Primary","7-2","1,495","325","22"
"Mar 07, 2000","Presidential Primary","7-3","1,683","593","35"
"Mar 07, 2000","Presidential Primary","7-4","984","235","24"
"Mar 07, 2000","Presidential Primary","8-1","1,672","482","29"
"Mar 07, 2000","Presidential Primary","8-2","185","46","25"
"Mar 07, 2000","Presidential Primary","8-3","634","90","14"
"Mar 07, 2000","Presidential Primary","8-4","1,387","416","30"
"Mar 07, 2000","Presidential Primary","9-1","1,805","680","38"
"Mar 07, 2000","Presidential Primary","9-2","1,535","596","39"
"Mar 07, 2000","Presidential Primary","9-3","1,622","585","36"
"Mar 07, 2000","Presidential Primary","9-4","1,277","410","32"
"Mar 07, 2000","Presidential Primary","10-1","1,780","604","34"
"Mar 07, 2000","Presidential Primary","10-2","1,492","427","29"
"Mar 07, 2000","Presidential Primary","10-3","1,647","578","35"
"Mar 07, 2000","Presidential Primary","10-4","1,524","454","30"
"Mar 07, 2000","Presidential Primary","11-1","914","142","16"
"Mar 07, 2000","Presidential Primary","11-2","2,195","667","30"
"Mar 07, 2000","Presidential Primary","11-3","2,108","714","34"
"Nov 02, 1999","Municipal","1-1","1,424","497","35"
"Nov 02, 1999","Municipal","1-2","1,395","565","41"
"Nov 02, 1999","Municipal","1-3","1,309","579","44"
"Nov 02, 1999","Municipal","1-4","1,071","432","40"
"Nov 02, 1999","Municipal","2-1","1,371","423","31"
"Nov 02, 1999","Municipal","2-2","1,012","168","17"
"Nov 02, 1999","Municipal","2-3","1,110","247","22"
"Nov 02, 1999","Municipal","3-1","1,013","398","39"
"Nov 02, 1999","Municipal","3-2","1,124","369","33"
"Nov 02, 1999","Municipal","3-3","1,615","563","35"
"Nov 02, 1999","Municipal","10-4","1,511","611","40"
"Nov 02, 1999","Municipal","11-3","2,072","919","44"
"Nov 02, 1999","Municipal","11-2","2,168","908","42"
"Nov 02, 1999","Municipal","3-4","1,196","382","32"
"Nov 02, 1999","Municipal","4-1","1,606","413","26"
"Nov 02, 1999","Municipal","4-2","1,724","419","24"
"Nov 02, 1999","Municipal","4-3","1,701","404","24"
"Nov 02, 1999","Municipal","4-4","1,793","556","31"
"Nov 02, 1999","Municipal","5-1","1,477","390","26"
"Nov 02, 1999","Municipal","5-2","1,652","669","40"
"Nov 02, 1999","Municipal","5-3","1,622","639","39"
"Nov 02, 1999","Municipal","5-4","1,330","458","34"
"Nov 02, 1999","Municipal","6-1","977","212","22"
"Nov 02, 1999","Municipal","6-2","1,388","292","21"
"Nov 02, 1999","Municipal","6-3","1,404","310","22"
"Nov 02, 1999","Municipal","6-4","1,382","418","30"
"Nov 02, 1999","Municipal","7-1","1,516","446","29"
"Nov 02, 1999","Municipal","7-2","1,444","286","20"
"Nov 02, 1999","Municipal","7-3","1,655","571","35"
"Nov 02, 1999","Municipal","7-4","973","195","20"
"Nov 02, 1999","Municipal","8-1","1,606","386","24"
"Nov 02, 1999","Municipal","8-2","166","18","11"
"Nov 02, 1999","Municipal","8-3","629","37","6"
"Nov 02, 1999","Municipal","8-4","1,359","366","27"
"Nov 02, 1999","Municipal","11-1","902","237","26"
"Nov 02, 1999","Municipal","9-1","1,782","642","36"
"Nov 02, 1999","Municipal","9-2","1,527","687","45"
"Nov 02, 1999","Municipal","9-3","1,602","703","44"
"Nov 02, 1999","Municipal","9-4","1,244","595","48"
"Nov 02, 1999","Municipal","10-1","1,737","663","38"
"Nov 02, 1999","Municipal","10-2","1,456","447","31"
"Nov 02, 1999","Municipal","10-3","1,621","641","40"
